ID,Work Item Type,Title,Description,Parent,Priority,Assigned To,State,Acceptance Criteria,Activity,Due Date,Found In
639,Epic,Candidate App Foundation,"<div><p dir=auto style=""margin-top:0px;margin-bottom:16px;color:rgb(187, 190, 191);font-family:-apple-system, BlinkMacSystemFont, &quot;Segoe WPC&quot;, &quot;Segoe UI&quot;, system-ui, Ubuntu, &quot;Droid Sans&quot;, sans-serif;"">Outcome: The repo has a stable development foundation, CI scripts, source assets, docs, and clear pattern sources. </p><p dir=auto style=""margin-top:0px;margin-bottom:16px;color:rgb(187, 190, 191);font-family:-apple-system, BlinkMacSystemFont, &quot;Segoe WPC&quot;, &quot;Segoe UI&quot;, system-ui, Ubuntu, &quot;Droid Sans&quot;, sans-serif;"">Ground truth: </p><ul dir=auto style=""margin-top:0px;margin-bottom:0.7em;color:rgb(187, 190, 191);font-family:-apple-system, BlinkMacSystemFont, &quot;Segoe WPC&quot;, &quot;Segoe UI&quot;, system-ui, Ubuntu, &quot;Droid Sans&quot;, sans-serif;""><li dir=auto><a href=""https://dev.azure.com/Fu-Lab/_git/Interview-Coach-Candidate?path=/docs/01-product/candidate-app-operating-model.md&amp;_a=preview"" style=""color:rgb(72, 160, 199);"">Candidate App Operating Model</a> </li><li dir=auto><font color=""#48a0c7""><a href=""https://dev.azure.com/Fu-Lab/_git/Interview-Coach-Candidate?path=/docs/04-architecture/current-foundation.md&amp;_a=preview"">Current Foundation</a></font> </li> </ul> </div>",,1,,New,,,,
640,Feature,Doc foundation,<div>Add foundational documentation </div>,639,2,,New,,,,
641,User Story,"As a dev, I want to set up the project with quality documentation",,640,2,,New,,,,
642,Task,Establish working docs and ground-truth docs,<div>Doc set is created with hyperlinks between and inside docs. </div>,641,2,,New,,,,
